GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Testing,br.com.senior.exception,ProdutoNaoEncontradoException,4,0,0,0,2,0,1,0,1,0
Spring Testing,br.com.senior.exception,ProdutoDesativadoException,4,0,0,0,2,0,1,0,1,0
Spring Testing,br.com.senior.exception,ProdutoNaoIdentificadoException,0,4,0,0,0,2,0,1,0,1
Spring Testing,br.com.senior.exception,ProdutoEmUsoException,4,0,0,0,2,0,1,0,1,0
Spring Testing,br.com.senior.exception,PedidoFechadoException,4,0,0,0,2,0,1,0,1,0
Spring Testing,br.com.senior,DesafioSeniorSistemasApplication,5,3,0,0,2,1,1,1,1,1
Spring Testing,br.com.senior.util,Util,9,6,0,0,4,1,1,1,1,1
Spring Testing,br.com.senior.controller,ProdutoRestControler,9,38,0,0,2,7,1,5,1,5
Spring Testing,br.com.senior.controller,ItensPedidoRestControler,16,21,0,0,5,3,3,2,3,2
Spring Testing,br.com.senior.controller,PedidoRestControler,22,3,0,0,6,1,4,1,4,1
Spring Testing,br.com.senior.service,ProdutoService,34,39,0,2,8,8,1,5,1,4
Spring Testing,br.com.senior.service,PedidoService,156,3,10,0,30,1,16,1,11,1
Spring Testing,br.com.senior.service,ItensPedidoService,11,22,0,0,4,4,2,3,2,3
Spring Testing,br.com.senior.entity,QPedido,62,37,0,0,4,7,2,2,2,2
Spring Testing,br.com.senior.entity,ItensPedido,132,24,26,0,0,4,17,7,4,7
Spring Testing,br.com.senior.entity,QItensPedido,50,31,0,0,4,6,2,2,2,2
Spring Testing,br.com.senior.entity,QProduto,66,39,0,0,4,8,2,2,2,2
Spring Testing,br.com.senior.entity,Produto,191,38,38,0,0,6,23,11,4,11
Spring Testing,br.com.senior.entity,Pedido,209,7,38,0,3,3,31,1,12,1
Spring Testing,br.com.senior.handler,ControllerAdvisor,65,14,0,0,12,2,4,2,4,2
